Date/Time,Word Count,en,tr
2021.03.01-19.01.20,468,468,0
2021.03.01-19.02.41,468,468,468
2021.03.01-19.45.45,508,508,468
2021.03.01-19.51.04,533,533,468
2021.03.01-19.57.46,533,533,532
2021.03.01-21.49.39,579,579,532
2021.03.01-21.54.03,579,579,579
2021.03.01-23.32.08,586,586,571
2021.03.01-23.38.59,586,586,584
2021.03.01-23.41.12,637,637,584
2021.03.01-23.44.22,637,637,635
2021.03.02-02.19.19,664,664,635
2021.03.02-02.27.35,666,666,635
2021.03.02-02.30.05,666,666,662
2021.03.02-03.20.22,671,671,662
2021.03.02-03.21.45,671,671,667
2021.03.02-03.23.32,673,673,667
2021.03.02-03.24.29,704,704,667
2021.03.02-03.28.06,702,702,698
2021.03.02-03.29.48,703,703,700
2021.03.02-03.59.04,785,785,700
2021.03.02-04.09.29,785,785,778
2021.03.02-04.30.56,812,812,778
2021.03.02-04.41.05,812,812,776
2021.03.02-16.59.43,767,767,727
2021.03.02-17.02.05,767,767,754
2021.03.02-17.03.05,767,767,767
2021.03.02-17.16.25,817,817,764
2021.03.02-17.47.05,828,828,817
2021.03.02-18.37.45,824,824,823
2021.03.02-19.05.45,842,842,823
2021.03.02-19.07.43,842,842,839
2021.03.02-19.10.23,844,844,842
2021.03.02-19.11.31,844,844,844
2021.03.02-20.21.59,871,871,844
2021.03.02-20.53.31,871,871,871
2021.03.14-16.08.13,997,997,868
2021.03.14-16.17.06,997,997,997
2021.03.24-06.19.27,1173,1173,987
2021.03.24-06.30.59,1173,1173,1166
2021.03.24-06.31.44,1173,1173,1167
2021.03.24-06.34.01,1173,1173,1173
2021.03.26-07.56.22,1190,1190,1173
2021.03.26-07.57.12,1190,1190,1188
2021.03.31-21.57.54,1186,1186,1176
2021.03.31-21.59.08,1186,1186,1181
